Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1255,ALFA,Conglomerates,Mexico,9780.0,330,9070.0,3460.0
2009,1587,ALFA,Conglomerates,Mexico,10420.0,-850,7980.0,770.0
2010,1468,ALFA,Conglomerates,Mexico,8580.0,150,8260.0,3800.0
2011,1010,ALFA,Conglomerates,Mexico,11037.0,398.7,9047.0,6725.0
2012,1057,ALFA,Conglomerates,Mexico,13097.0,373.0,9870.0,7062.0
2013,712,ALFA,Conglomerates,Mexico,15557.0,699.0,11814.0,12678.0
2014,826,ALFA,Conglomerates,Mexico,15937.0,464.2,12628.0,13210.0
2015,1036,ALFA,Conglomerates,Mexico,17200.0,-169.7,15776.0,11018.0
2016,1061,ALFA,Conglomerates,Mexico,16261.0,237.9,15442.0,9374.0
2017,1215,ALFA,Conglomerates,Mexico,15716.0,144.4,16919.0,7314.0
2018,1377,ALFA,Conglomerates,Mexico,17397.0,-86.6,19120.0,5814.0
2019,1030,ALFA,Conglomerates,Mexico,19048.0,683.0,18779.0,5467.0
2020,1296,ALFA,Conglomerates,Mexico,17181.0,412.1,18194.0,2054.0
2021,1951,ALFA,Conglomerates,Mexico,13528.0,182.7,12856.0,2995.0
