Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1025,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,1480.0,570,22080.0,7080.0
2009,1087,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,1970.0,540,40220.0,2130.0
2010,1650,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2250.0,-150,43620.0,2170.0
2011,1648,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2422.0,64.2,48534.0,2986.0
2012,1050,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2526.0,766.0,50020.0,4799.0
2013,1005,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2570.0,680.0,49222.0,6051.0
2014,813,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2521.0,920.1,49862.0,11198.0
2015,841,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2507.0,1051.8,55546.0,10313.0
2016,761,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,2783.0,1305.6,62147.0,10979.0
2017,834,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,3118.0,1091.9,70323.0,9765.0
2018,930,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,3500.0,1148.0,72597.0,9656.0
2019,784,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,3895.0,1270.0,76183.0,13591.0
2020,776,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,5396.0,1231.8,110296.0,8402.0
2021,818,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,4819.0,960.7,111936.0,11869.0
2022,763,Abu Dhabi Commercial Bank,Banking,United Arab Emirates,4230.0,1379.6,119867.0,19446.0
