Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,443,Accenture,IT Software & Services,Bermuda,22390.0,1340,10750.0,26580.0
2009,355,Accenture,IT Software & Services,Bermuda,25680.0,1790,10930.0,21040.0
2010,339,Accenture,IT Software & Services,Ireland,22450.0,1550,12180.0,28620.0
2011,386,Accenture,IT Software & Services,Ireland,23825.0,1870.6,12869.0,36699.0
2012,334,Accenture,IT Software & Services,Ireland,28464.0,2385.1,15291.0,44222.0
2013,318,Accenture,IT Software & Services,Ireland,30090.0,3068.0,16359.0,53341.0
2014,339,Accenture,IT Software & Services,Ireland,30600.0,2904.4,16357.0,52667.0
2015,322,Accenture,IT Software & Services,Ireland,32782.0,3041.0,16992.0,63455.0
2016,289,Accenture,IT Software & Services,Ireland,33503.0,3676.7,18148.0,71551.0
2017,272,Accenture,IT Software & Services,Ireland,35702.0,3809.7,20079.0,77761.0
2018,288,Accenture,IT Software & Services,Ireland,39120.0,3589.0,23133.0,101016.0
2019,248,Accenture,IT Software & Services,Ireland,42541.0,4472.0,27390.0,113923.0
2020,205,Accenture,IT Software & Services,Ireland,44656.0,4971.7,33503.0,117971.0
2021,169,Accenture,IT Software & Services,Ireland,45677.0,5457.3,39985.0,190861.0
2022,184,Accenture,IT Software & Services,Ireland,56695.0,6391.6,44318.0,196861.0
