Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,655,Adecco,Business Services & Supplies,Switzerland,26380.0,790,9820.0,9950.0
2009,560,Adecco,Business Services & Supplies,Switzerland,29560.0,730,10510.0,5820.0
2010,877,Adecco,Business Services & Supplies,Switzerland,21590.0,10,11240.0,9430.0
2011,596,Adecco,Business Services & Supplies,Switzerland,27295.0,618.9,11910.0,12452.0
2012,671,Adecco,Business Services & Supplies,Switzerland,26901.0,679.6,12154.0,10128.0
2013,732,Adecco,Business Services & Supplies,Switzerland,26407.0,485.0,12688.0,10856.0
2014,627,Adecco,Business Services & Supplies,Switzerland,25893.0,739.8,12670.0,15962.0
2015,675,Adecco,Business Services & Supplies,Switzerland,26870.0,850.1,12035.0,15132.0
2016,1071,Adecco,Business Services & Supplies,Switzerland,24402.0,8.9,10565.0,11533.0
2017,781,Adecco,Business Services & Supplies,Switzerland,25118.0,799.3,10652.0,11769.0
2018,866,Adecco,Business Services & Supplies,Switzerland,27631.0,869.4,12531.0,10971.0
2019,1037,Adecco,Business Services & Supplies,United States,28163.0,544.0,11109.0,9692.0
2020,980,Adecco,Business Services & Supplies,Switzerland,26225.0,811.5,11866.0,7105.0
2021,1437,Adecco,Business Services & Supplies,Switzerland,22312.0,-109.1,11981.0,11426.0
2022,1422,Adecco,Business Services & Supplies,Switzerland,24765.0,691.6,13493.0,6826.0
