Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,120,Aegon,Insurance,Netherlands,57730.0,3490,462420.0,24740.0
2009,540,Aegon,Insurance,Netherlands,47490.0,-1510,399800.0,5770.0
2010,337,Aegon,Insurance,Netherlands,42680.0,290,428460.0,11040.0
2011,183,Aegon,Insurance,Netherlands,42404.0,2361.1,445805.0,14211.0
2012,568,Aegon,Insurance,Netherlands,42393.0,-151.6,433660.0,11356.0
2013,207,Aegon,Insurance,Netherlands,55203.0,2018.8,483166.0,12700.0
2014,234,Aegon,Insurance,Netherlands,40167.0,1123.2,473017.0,19850.0
2015,230,Aegon,Insurance,Netherlands,54323.0,1573.2,502545.0,17466.0
2016,343,Aegon,Insurance,Netherlands,32983.0,687.1,441291.0,13000.0
2017,484,Aegon,Insurance,Netherlands,36610.0,501.1,437433.0,9958.0
2018,277,Aegon,Insurance,Netherlands,35249.0,2550.3,452368.0,14114.0
2019,460,Aegon,Insurance,Netherlands,30872.0,838.0,425396.0,10748.0
2020,523,Aegon,Insurance,Netherlands,29507.0,1386.7,470903.0,5283.0
2021,772,Aegon,Insurance,Netherlands,26394.0,-166.4,519891.0,9610.0
2022,419,Aegon,Insurance,Netherlands,26333.0,1951.5,509343.0,11762.0
