Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1510,Aeroports de Paris,Business Services & Supplies,France,2730.0,200,8630.0,12100.0
2009,1115,Aeroports de Paris,Business Services & Supplies,France,3340.0,470,9990.0,4800.0
2010,1001,Aeroports de Paris,Transportation,France,3770.0,390,11450.0,7760.0
2011,1254,Aeroports de Paris,Transportation,France,3667.0,401.7,11104.0,8546.0
2012,1383,Aeroports de Paris,Transportation,France,3240.0,450.5,11493.0,7951.0
2013,1363,Aeroports de Paris,Transportation,France,3483.0,450.2,12367.0,8449.0
2014,1318,Aeroports de Paris,Transportation,France,3657.0,404.6,13282.0,12586.0
2015,1356,Aeroports de Paris,Transportation,France,3702.0,533.2,11849.0,12185.0
2016,1360,Aeroports de Paris,Transportation,France,3234.0,476.8,11336.0,11974.0
2017,1445,Aeroports de Paris,Transportation,France,3260.0,481.2,11172.0,11935.0
2018,1105,Aeroports de Paris,Transportation,France,4080.0,644.1,17143.0,21829.0
2019,1020,Aeroports de Paris,Transportation,France,5283.0,720.0,18367.0,19950.0
2020,1221,Aeroports de Paris,Transportation,France,5260.0,658.1,18850.0,9690.0
2021,1984,Aeroports de Paris,Transportation,France,2436.0,-1332.6,22721.0,12072.0
2022,1846,Aeroports de Paris,Transportation,France,3282.0,-293.1,20881.0,15071.0
