Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,256,Aflac,Insurance,United States,15390.0,1630,65810.0,30360.0
2009,287,Aflac,Insurance,United States,16550.0,1250,79330.0,7840.0
2010,184,Aflac,Insurance,United States,18250.0,1500,84110.0,23470.0
2011,188,Aflac,Insurance,United States,20732.0,2344.0,101039.0,26120.0
2012,214,Aflac,Insurance,United States,22171.0,1965.0,117102.0,21893.0
2013,186,Aflac,Insurance,United States,25364.0,2865.0,131094.0,23892.0
2014,188,Aflac,Insurance,United States,24139.0,3158.0,124276.0,28797.0
2015,212,Aflac,Insurance,United States,22723.0,2951.0,119767.0,28045.0
2016,204,Aflac,Insurance,United States,21036.0,2533.0,118296.0,28461.0
2017,199,Aflac,Insurance,United States,22690.0,2659.0,129819.0,29246.0
2018,195,Aflac,Insurance,United States,21812.0,4729.0,147356.0,35016.0
2019,223,Aflac,Insurance,United States,22185.0,2919.0,145597.0,36634.0
2020,217,Aflac,Insurance,United States,21995.0,2941.0,151616.0,26906.0
2021,189,Aflac,Insurance,United States,22147.0,4779.0,164086.0,36752.0
2022,228,Aflac,Insurance,United States,22106.0,4325.0,164553.0,41150.0
