Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1040,Ajinomoto,"Food, Drink & Tobacco",Japan,9860.0,260,8970.0,8480.0
2009,866,Ajinomoto,"Food, Drink & Tobacco",Japan,12190.0,280,10970.0,4840.0
2010,1051,Ajinomoto,"Food, Drink & Tobacco",Japan,12230.0,-110,10570.0,7100.0
2011,1113,Ajinomoto,"Food, Drink & Tobacco",Japan,12528.0,178.1,11498.0,7830.0
2012,925,Ajinomoto,"Food, Drink & Tobacco",Japan,14529.0,365.7,12878.0,7982.0
2013,830,Ajinomoto,"Food, Drink & Tobacco",Japan,14464.0,504.4,13236.0,8723.0
2014,1231,Ajinomoto,"Food, Drink & Tobacco",Japan,10490.0,317.3,10612.0,8898.0
2015,1063,Ajinomoto,"Food, Drink & Tobacco",Japan,9263.0,430.7,10573.0,13733.0
2016,875,Ajinomoto,"Food, Drink & Tobacco",Japan,9734.0,722.9,10734.0,13566.0
2017,1315,Ajinomoto,"Food, Drink & Tobacco",Japan,10073.0,258.4,11387.0,10876.0
2018,1144,Ajinomoto,"Food, Drink & Tobacco",Japan,10378.0,550.9,13407.0,10441.0
2019,1596,Ajinomoto,"Food, Drink & Tobacco",Japan,10294.0,255.0,12680.0,8409.0
2020,1505,Ajinomoto,"Food, Drink & Tobacco",Japan,10208.0,284.1,12894.0,9822.0
2021,1275,Ajinomoto,"Food, Drink & Tobacco",Japan,9958.0,546.3,13335.0,11132.0
2022,1365,Ajinomoto,"Food, Drink & Tobacco",Japan,10291.0,712.6,12135.0,13891.0
