Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,621,Al Rajhi Bank,Banking,Saudi Arabia,2760.0,1950,28060.0,40560.0
2009,559,Al Rajhi Bank,Banking,Saudi Arabia,2840.0,1730,33300.0,19960.0
2010,467,Al Rajhi Bank,Banking,Saudi Arabia,3350.0,1800,45520.0,30100.0
2011,554,Al Rajhi Bank,Banking,Saudi Arabia,3305.0,1805.6,49288.0,31197.0
2012,545,Al Rajhi Bank,Banking,Saudi Arabia,3529.0,1967.5,58880.0,31096.0
2013,539,Al Rajhi Bank,Banking,Saudi Arabia,4027.0,2102.0,71287.0,25999.0
2014,567,Al Rajhi Bank,Banking,Saudi Arabia,4042.0,1983.3,74623.0,30097.0
2015,597,Al Rajhi Bank,Banking,Saudi Arabia,3749.0,1822.5,82003.0,24476.0
2016,544,Al Rajhi Bank,Banking,Saudi Arabia,4000.0,2033.9,86198.0,25478.0
2017,515,Al Rajhi Bank,Banking,Saudi Arabia,4508.0,2166.5,90546.0,27635.0
2018,563,Al Rajhi Bank,Banking,Saudi Arabia,4459.0,2475.1,93132.0,34919.0
2019,519,Al Rajhi Bank,Banking,Saudi Arabia,4753.0,2745.0,97301.0,49666.0
2020,473,Al Rajhi Bank,Banking,Saudi Arabia,5338.0,2785.5,102388.0,38083.0
2021,380,Al Rajhi Bank,Banking,Saudi Arabia,5646.0,2823.7,124967.0,62782.0
2022,380,Al Rajhi Bank,Banking,Saudi Arabia,6736.0,3931.4,166118.0,119854.0
