Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1437,Alfa Laval,Capital Goods,Sweden,3840.0,490,3440.0,3010.0
2010,1392,Alfa Laval,Capital Goods,Sweden,3640.0,380,3450.0,6020.0
2011,1468,Alfa Laval,Capital Goods,Sweden,3681.0,459.9,3808.0,8209.0
2012,1488,Alfa Laval,Capital Goods,Sweden,4154.0,467.2,4790.0,8700.0
2013,1395,Alfa Laval,Capital Goods,Sweden,4587.0,491.0,5146.0,9945.0
2014,1456,Alfa Laval,Capital Goods,Sweden,4595.0,464.6,5440.0,11466.0
2015,1707,Alfa Laval,Capital Goods,Sweden,5108.0,429.1,7126.0,8325.0
2016,1697,Alfa Laval,Capital Goods,Sweden,4711.0,455.0,6156.0,7012.0
2019,1825,Alfa Laval,Capital Goods,Sweden,4674.0,519.0,6566.0,10380.0
2020,1884,Alfa Laval,Capital Goods,Sweden,4898.0,551.7,6522.0,7880.0
2021,1956,Alfa Laval,Capital Goods,Sweden,4505.0,423.2,7411.0,13992.0
