Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1523,Alfresa Holdings,Health Care Equipment & Services,Japan,13530.0,100,6520.0,2930.0
2009,1409,Alfresa Holdings,Health Care Equipment & Services,Japan,17730.0,160,8460.0,1660.0
2010,1379,Alfresa Holdings,Health Care Equipment & Services,Japan,19870.0,60,8880.0,2040.0
2011,1378,Alfresa Holdings,Drugs & Biotechnology,Japan,22034.0,112.3,10032.0,1991.0
2012,1317,Alfresa Holdings,Drugs & Biotechnology,Japan,26266.0,79.2,12991.0,2305.0
2013,1345,Alfresa Holdings,Drugs & Biotechnology,Japan,28186.0,79.8,13078.0,2735.0
2014,1434,Alfresa Holdings,Drugs & Biotechnology,Japan,25239.0,223.1,11574.0,3773.0
2015,1516,Alfresa Holdings,Drugs & Biotechnology,Japan,23110.0,238.2,10596.0,3100.0
2016,1521,Alfresa Holdings,Drugs & Biotechnology,Japan,21044.0,237.3,11077.0,4633.0
2017,1381,Alfresa Holdings,Drugs & Biotechnology,Japan,23528.0,305.6,11343.0,3981.0
2018,1524,Alfresa Holdings,Drugs & Biotechnology,Japan,23485.0,321.1,12631.0,4923.0
2019,1408,Alfresa Holdings,Drugs & Biotechnology,Japan,23820.0,410.0,12627.0,5541.0
2020,1582,Alfresa Holdings,Drugs & Biotechnology,Japan,24775.0,322.8,13086.0,4272.0
2021,1561,Alfresa Holdings,Drugs & Biotechnology,Japan,24550.0,293.7,13776.0,3972.0
2022,1752,Alfresa Holdings,Drugs & Biotechnology,Japan,23510.0,220.0,12085.0,2774.0
