Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,163,America Movil,Telecommunications Services,Mexico,28530.0,5370,31970.0,104700.0
2009,154,America Movil,Telecommunications Services,Mexico,25010.0,4350,31640.0,42680.0
2010,131,America Movil,Telecommunications Services,Mexico,30220.0,5400,34700.0,72090.0
2011,88,America Movil,Telecommunications services,Mexico,49188.0,7349.3,69704.0,110080.0
2012,112,America Movil,Telecommunications services,Mexico,47665.0,5920.7,67897.0,93444.0
2013,100,America Movil,Telecommunications services,Mexico,60238.0,7106.8,74586.0,70741.0
2014,115,America Movil,Telecommunications services,Mexico,61578.0,5845.6,79037.0,70942.0
2015,125,America Movil,Telecommunications services,Mexico,63744.0,3450.9,85233.0,74516.0
2016,142,America Movil,Telecommunications services,Mexico,56311.0,2207.5,75067.0,51930.0
2017,340,America Movil,Telecommunications services,Mexico,52180.0,462.7,73582.0,47344.0
2018,329,America Movil,Telecommunications services,Mexico,54602.0,624.3,78732.0,57779.0
2019,189,America Movil,Telecommunications Services,Mexico,53065.0,2522.0,72572.0,52350.0
2020,157,America Movil,Telecommunications Services,Mexico,52322.0,3518.0,81123.0,40463.0
2021,194,America Movil,Telecommunications Services,Mexico,47294.0,2179.0,75616.0,48326.0
2022,179,America Movil,Telecommunications Services,Mexico,48368.0,4107.4,82452.0,67840.0
