Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,1738,American Water Works,Utilities,United States,2711.0,267.8,14080.0,4810.0
2012,1600,American Water Works,Utilities,United States,2666.0,309.6,14776.0,5939.0
2013,1470,American Water Works,Utilities,United States,2877.0,358.1,14719.0,7143.0
2014,1505,American Water Works,Utilities,United States,2902.0,369.1,15070.0,8071.0
2015,1392,American Water Works,Utilities,United States,3019.0,423.0,16131.0,9927.0
2016,1171,American Water Works,Utilities,United States,3159.0,475.9,17241.0,12320.0
2017,1183,American Water Works,Utilities,United States,3302.0,468.0,18482.0,13845.0
2018,1347,American Water Works,Utilities,United States,3362.0,439.0,19728.0,14863.0
2019,1110,American Water Works,Utilities,United States,3440.0,567.0,22216.0,18900.0
2020,1010,American Water Works,Utilities,United States,3610.0,621.0,22682.0,22028.0
2021,924,American Water Works,Utilities,United States,3777.0,709.0,25830.0,29056.0
2022,928,American Water Works,Utilities,United States,3930.0,1263.0,27009.0,29844.0
