Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,605,Angang Steel,Materials,China,8830.0,1030,11950.0,7620.0
2010,570,Angang Steel,Materials,China,11450.0,440,13740.0,12950.0
2011,1035,Angang Steel,Diversified Metals & Mining,China,10235.0,110.2,14947.0,8774.0
2012,1064,Angang Steel,Diversified Metals & Mining,China,13947.0,311.6,16048.0,5300.0
2013,1436,Angang Steel,Diversified Metals & Mining,China,12296.0,-659.0,16237.0,4110.0
2014,1492,Angang Steel,Diversified Metals & Mining,China,12226.0,125.2,15340.0,3566.0
2015,1364,Angang Steel,Diversified Metals & Mining,China,11981.0,150.5,14715.0,7258.0
2016,1740,Angang Steel,Diversified Metals & Mining,China,8371.0,-720.0,13657.0,4641.0
2017,1816,Angang Steel,Diversified Metals & Mining,China,8655.0,240.8,12701.0,5289.0
2018,1051,Angang Steel,Diversified Metals & Mining,China,12914.0,930.2,14646.0,7438.0
2019,1102,Angang Steel,Materials,China,15103.0,1063.0,13112.0,6029.0
2020,1817,Angang Steel,Materials,China,14431.0,241.4,12715.0,2560.0
2021,1819,Angang Steel,Materials,China,14518.0,288.9,13463.0,6173.0
2022,1182,Angang Steel,Materials,China,21020.0,1069.1,15302.0,4350.0
