Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1773,Anhui Conch Cement,Construction,China,1950.0,190,2850.0,14040.0
2009,1376,Anhui Conch Cement,Construction,China,2570.0,340,4220.0,7470.0
2010,1157,Anhui Conch Cement,Construction,China,3560.0,380,6200.0,10880.0
2011,1137,Anhui Conch Cement,Construction,China,3662.0,513.5,6876.0,19018.0
2012,936,Anhui Conch Cement,Construction,China,5236.0,935.1,9133.0,14082.0
2013,728,Anhui Conch Cement,Construction,China,7232.0,1002.0,14037.0,15878.0
2014,603,Anhui Conch Cement,Construction,China,8954.0,1530.8,15378.0,22818.0
2015,612,Anhui Conch Cement,Construction,China,9801.0,1782.8,16482.0,19939.0
2016,719,Anhui Conch Cement,Construction,China,8042.0,1199.8,16290.0,13426.0
2017,712,Anhui Conch Cement,Construction,China,8295.0,1279.9,15759.0,16919.0
2018,522,Anhui Conch Cement,Construction,China,11998.0,2794.2,19772.0,32269.0
2019,407,Anhui Conch Cement,Construction,China,18985.0,4489.0,21782.0,33605.0
2020,312,Anhui Conch Cement,Construction,China,22702.0,4861.6,25665.0,41698.0
2021,341,Anhui Conch Cement,Construction,China,22673.0,4897.9,25911.0,32976.0
2022,376,Anhui Conch Cement,Construction,China,26045.0,5165.3,36169.0,26782.0
