Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,312,Apache,Oil & Gas Operations,United States,9980.0,2810,28630.0,38190.0
2009,372,Apache,Oil & Gas Operations,United States,12390.0,710,29190.0,19780.0
2010,690,Apache,Oil & Gas Operations,United States,8610.0,-280,28190.0,35350.0
2011,242,Apache,Oil & Gas Operations,United States,12092.0,3032.5,43425.0,45479.0
2012,198,Apache,Oil & Gas Operations,United States,16888.0,4584.0,52051.0,41883.0
2013,253,Apache,Oil & Gas Operations,United States,17078.0,2001.0,60737.0,29639.0
2014,270,Apache,Oil & Gas Operations,United States,16497.0,2232.0,61637.0,33062.0
2015,706,Apache,Oil & Gas Operations,United States,13749.0,-5403.0,55952.0,24435.0
2016,1046,Apache,Oil & Gas Operations,United States,6551.0,-23119.0,18842.0,21272.0
2017,1133,Apache,Oil & Gas Operations,United States,5340.0,-1522.0,22519.0,20023.0
2018,858,Apache,Oil & Gas Operations,United States,6103.0,1236.0,21791.0,15825.0
2019,1260,Apache,Oil & Gas Operations,United States,7343.0,40.0,21582.0,13484.0
