Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1455,Arca Continental,"Hotels, Restaurants & Leisure",Mexico,4369.0,390.0,4893.0,12044.0
2014,1513,Arca Continental,"Food, Drink & Tobacco",Mexico,4728.0,467.5,5086.0,9415.0
2015,1557,Arca Continental,"Food, Drink & Tobacco",Mexico,4656.0,489.2,5426.0,10286.0
2016,1400,Arca Continental,"Food, Drink & Tobacco",Mexico,4814.0,456.3,7629.0,11340.0
2017,1369,Arca Continental,"Food, Drink & Tobacco",Mexico,5011.0,483.3,6786.0,12479.0
2018,1147,Arca Continental,"Food, Drink & Tobacco",Mexico,8074.0,685.3,12617.0,11178.0
2019,1419,Arca Continental,"Food, Drink & Tobacco",Mexico,8263.0,452.0,12079.0,10041.0
2020,1473,Arca Continental,"Food, Drink & Tobacco",Mexico,8463.0,540.9,12651.0,6879.0
2021,1702,Arca Continental,"Food, Drink & Tobacco",Mexico,7875.0,477.9,12345.0,9230.0
2022,1696,Arca Continental,"Food, Drink & Tobacco",Mexico,9037.0,605.3,12608.0,11280.0
