Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,553,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,17235.0,842.7,15659.0,14929.0
2013,493,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,19793.0,896.6,16230.0,22748.0
2014,465,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,20772.0,922.0,16753.0,36665.0
2015,462,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,21435.0,1262.0,16977.0,33907.0
2016,475,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,19163.0,1128.4,15068.0,35723.0
2017,555,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,19015.0,1160.9,14777.0,24369.0
2018,542,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,20300.0,1367.5,17803.0,29505.0
2019,550,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,20759.0,1354.0,17855.0,25822.0
2020,591,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,20336.0,901.4,20494.0,18862.0
2021,660,Associated British Foods,"Food, Drink & Tobacco",Australia,17730.0,579.8,21550.0,26513.0
2022,915,Associated British Foods,"Food, Drink & Tobacco",United Kingdom,18991.0,654.0,22780.0,16576.0
