Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,604,Astellas Pharma,Drugs & Biotechnology,Japan,7830.0,1120,12200.0,22150.0
2009,436,Astellas Pharma,Drugs & Biotechnology,Japan,9750.0,1780,14060.0,16950.0
2010,436,Astellas Pharma,Drugs & Biotechnology,Japan,9920.0,1760,13180.0,17810.0
2011,521,Astellas Pharma,Drugs & Biotechnology,Japan,10431.0,1308.2,14098.0,17837.0
2012,588,Astellas Pharma,Drugs & Biotechnology,Japan,11476.0,813.8,15478.0,19011.0
2013,553,Astellas Pharma,Drugs & Biotechnology,Japan,11710.0,945.0,16608.0,25882.0
2014,615,Astellas Pharma,Drugs & Biotechnology,Japan,11655.0,816.2,14892.0,26085.0
2015,602,Astellas Pharma,Drugs & Biotechnology,Japan,11380.0,907.2,15446.0,37098.0
2016,533,Astellas Pharma,Drugs & Biotechnology,Japan,11235.0,1533.6,14862.0,31293.0
2017,528,Astellas Pharma,Drugs & Biotechnology,Japan,12080.0,1913.7,15895.0,27980.0
2018,613,Astellas Pharma,Drugs & Biotechnology,Japan,11732.0,1485.8,17473.0,30083.0
2019,602,Astellas Pharma,Drugs & Biotechnology,Japan,11824.0,1934.0,17576.0,26022.0
2020,547,Astellas Pharma,Drugs & Biotechnology,Japan,11832.0,2025.0,18309.0,30713.0
2021,585,Astellas Pharma,Drugs & Biotechnology,Japan,11738.0,1295.4,22247.0,28132.0
2022,781,Astellas Pharma,Drugs & Biotechnology,Japan,11840.0,1093.7,20462.0,29261.0
