Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,21,Banco Santander,Banking,Spain,72260.0,10020,1332720.0,113270.0
2009,9,Banco Santander,Banking,Spain,96230.0,13250,1318860.0,49750.0
2010,6,Banco Santander,Banking,Spain,109570.0,12340,1438680.0,107120.0
2011,13,Banco Santander,Banking,Spain,109669.0,12830.3,1570624.0,94735.0
2012,23,Banco Santander,Banking,Spain,109596.0,6946.6,1624724.0,75604.0
2013,43,Banco Santander,Banking,Spain,108812.0,2909.0,1647830.0,82146.0
2014,43,Banco Santander,Banking,Spain,52499.0,5801.7,1537292.0,112273.0
2015,31,Banco Santander,Banking,Spain,56361.0,7714.6,1532282.0,109351.0
2016,37,Banco Santander,Banking,Spain,49786.0,6622.3,1455924.0,72526.0
2017,33,Banco Santander,Banking,Spain,48336.0,6862.8,1412442.0,89409.0
2018,31,Banco Santander,Banking,Spain,56068.0,7953.6,1769144.0,106323.0
