Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1365,Bank Audi,Banking,Lebanon,1600.0,280,26580.0,2970.0
2011,1474,Bank Audi,Banking,Lebanon,1781.0,338.8,28827.0,2396.0
2012,1515,Bank Audi,Banking,Lebanon,1889.0,361.3,28776.0,2132.0
2013,1514,Bank Audi,Banking,Lebanon,2032.0,376.0,31348.0,2361.0
2014,1636,Bank Audi,Banking,Lebanon,2268.0,301.7,36213.0,2242.0
2015,1562,Bank Audi,Banking,Lebanon,2801.0,340.1,41836.0,2695.0
2016,1453,Bank Audi,Banking,Lebanon,2959.0,395.5,41008.0,2336.0
2017,1391,Bank Audi,Banking,Lebanon,3964.0,445.6,44252.0,2758.0
2018,1415,Bank Audi,Banking,Lebanon,3321.0,542.3,43301.0,2299.0
2019,1475,Bank Audi,Banking,Lebanon,3498.0,498.0,47233.0,1953.0
2020,1502,Bank Audi,Banking,Lebanon,3682.0,493.0,47522.0,764.0
