Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1477,Bank of Baroda,Banking,India,2550.0,260,33970.0,3330.0
2009,1184,Bank of Baroda,Banking,India,3560.0,390,45720.0,1570.0
2010,892,Bank of Baroda,Banking,India,3580.0,460,45780.0,4610.0
2011,763,Bank of Baroda,Banking,India,4507.0,709.3,63319.0,7181.0
2012,715,Bank of Baroda,Banking,India,5792.0,995.4,82119.0,6312.0
2013,727,Bank of Baroda,Banking,India,6800.0,1031.9,89783.0,5479.0
2014,801,Bank of Baroda,Banking,India,7525.0,882.7,102948.0,5180.0
2015,832,Bank of Baroda,Banking,India,7615.0,827.5,113292.0,5719.0
2016,801,Bank of Baroda,Banking,India,8237.0,639.8,117448.0,5602.0
2017,1145,Bank of Baroda,Banking,India,7910.0,-774.0,104372.0,6053.0
2018,1218,Bank of Baroda,Banking,India,7804.0,270.7,110760.0,5602.0
2019,1226,Bank of Baroda,Banking,India,8370.0,-293.0,112830.0,6228.0
2020,1063,Bank of Baroda,Banking,India,12108.0,-50.0,159263.0,3027.0
2021,909,Bank of Baroda,Banking,India,11899.0,370.7,167402.0,4681.0
2022,954,Bank of Baroda,Banking,India,12063.0,686.7,167759.0,7535.0
