Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,245,Bank of Communications,Banking,China,8850.0,1570,219760.0,71240.0
2009,143,Bank of Communications,Banking,China,13690.0,2780,288590.0,34380.0
2010,96,Bank of Communications,Banking,China,19050.0,4170,392830.0,57340.0
2011,124,Bank of Communications,Banking,China,19564.0,4411.7,483861.0,52280.0
2012,108,Bank of Communications,Banking,China,24898.0,5923.5,598548.0,48794.0
2013,54,Bank of Communications,Banking,China,43541.0,9386.0,846409.0,56749.0
2014,65,Bank of Communications,Banking,China,46645.0,10112.6,942182.0,48730.0
2015,38,Bank of Communications,Banking,China,53613.0,10688.3,1010364.0,71248.0
2016,36,Bank of Communications,Banking,China,56985.0,10601.5,1101910.0,55652.0
2017,34,Bank of Communications,Banking,China,52995.0,10141.0,1209176.0,62164.0
2018,38,Bank of Communications,Banking,China,59050.0,10729.0,1472867.0,66642.0
2019,39,Bank of Communications,Banking,China,64752.0,11191.0,1388230.0,63612.0
2020,45,Bank of Communications,Banking,China,66610.0,11213.4,1422054.0,47131.0
2021,57,Bank of Communications,Banking,China,67589.0,11144.7,1635771.0,47884.0
2022,62,Bank of Communications,Banking,China,75998.0,12981.6,1830396.0,52819.0
