Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,271,Bank of Ireland,Banking,Ireland,15460.0,2210,252390.0,14190.0
2009,476,Bank of Ireland,Banking,Ireland,19460.0,2680,312610.0,250.0
2010,951,Bank of Ireland,Banking,Ireland,12820.0,90,256980.0,1540.0
2011,956,Bank of Ireland,Banking,Ireland,14000.0,-2800.0,259836.0,2200.0
2012,922,Bank of Ireland,Banking,Ireland,10309.0,58.3,199265.0,5750.0
2013,992,Bank of Ireland,Banking,Ireland,8247.0,-2405.0,195314.0,5984.0
2014,891,Bank of Ireland,Banking,Ireland,5813.0,-646.5,182078.0,14447.0
2015,619,Bank of Ireland,Banking,Ireland,5709.0,1042.6,157064.0,12667.0
2016,689,Bank of Ireland,Banking,Ireland,4840.0,1042.4,142262.0,9375.0
2017,853,Bank of Ireland,Banking,Ireland,4348.0,796.5,129870.0,8418.0
2018,962,Bank of Ireland,Banking,Ireland,4030.0,722.0,147163.0,9664.0
2019,956,Bank of Ireland,Banking,Ireland,5882.0,731.0,141372.0,7189.0
2020,1118,Bank of Ireland,Banking,Ireland,7108.0,432.0,148039.0,2169.0
2021,1372,Bank of Ireland,Banking,Ireland,6059.0,-845.9,163655.0,5626.0
2022,867,Bank of Ireland,Banking,Ireland,8370.0,1158.3,176571.0,7831.0
