Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,886,Bankinter,Banking,Spain,3790.0,530,72480.0,5910.0
2009,886,Bankinter,Banking,Spain,4100.0,350,74320.0,3350.0
2010,1042,Bankinter,Banking,Spain,3040.0,350,78060.0,3840.0
2011,1574,Bankinter,Banking,Spain,2363.0,201.7,77944.0,3019.0
2012,1578,Bankinter,Banking,Spain,3539.0,234.8,77094.0,2976.0
2013,1629,Bankinter,Banking,Spain,3746.0,164.4,76490.0,3322.0
2014,1263,Bankinter,Banking,Spain,2985.0,286.0,75974.0,7351.0
2015,1270,Bankinter,Banking,Spain,2858.0,365.9,69376.0,7160.0
2016,1156,Bankinter,Banking,Spain,2209.0,408.1,63722.0,6859.0
2017,1078,Bankinter,Banking,Spain,2236.0,542.2,70861.0,7609.0
2018,1035,Bankinter,Banking,Spain,2487.0,600.5,87678.0,9773.0
2019,1127,Bankinter,Banking,Spain,2616.0,621.0,87453.0,7424.0
2020,1212,Bankinter,Banking,Spain,2618.0,616.3,93990.0,3705.0
2021,1435,Bankinter,Banking,Spain,2474.0,361.5,117769.0,6244.0
2022,1051,Bankinter,Banking,Spain,2759.0,1555.2,123283.0,5394.0
