Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,844,Banque Saudi Fransi,Banking,Saudi Arabia,1720.0,800,21220.0,13710.0
2009,758,Banque Saudi Fransi,Banking,Saudi Arabia,1860.0,750,33540.0,7200.0
2010,776,Banque Saudi Fransi,Banking,Saudi Arabia,1450.0,660,32150.0,9040.0
2011,883,Banque Saudi Fransi,Banking,Saudi Arabia,1327.0,746.9,32856.0,8736.0
2012,881,Banque Saudi Fransi,Banking,Saudi Arabia,1389.0,776.3,37459.0,8812.0
2013,926,Banque Saudi Fransi,Banking,Saudi Arabia,1580.0,803.8,42069.0,7400.0
2014,931,Banque Saudi Fransi,Banking,Saudi Arabia,1589.0,641.4,45343.0,9738.0
2015,849,Banque Saudi Fransi,Banking,Saudi Arabia,1742.0,937.5,50308.0,10957.0
2016,871,Banque Saudi Fransi,Banking,Saudi Arabia,1856.0,1083.5,49062.0,8408.0
2017,944,Banque Saudi Fransi,Banking,Saudi Arabia,2163.0,935.9,54222.0,8427.0
2018,987,Banque Saudi Fransi,Banking,Saudi Arabia,2205.0,944.0,49071.0,10310.0
2019,904,Banque Saudi Fransi,Banking,Saudi Arabia,2301.0,882.0,50703.0,13065.0
2020,934,Banque Saudi Fransi,Banking,Saudi Arabia,2507.0,886.4,47490.0,9888.0
2021,1301,Banque Saudi Fransi,Banking,Saudi Arabia,2273.0,412.1,51731.0,11354.0
2022,971,Banque Saudi Fransi,Banking,Saudi Arabia,2186.0,919.8,57480.0,17598.0
