Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,306,Baoshan Iron & Steel,Materials,China,20150.0,1670,19260.0,42160.0
2009,263,Baoshan Iron & Steel,Materials,China,26170.0,1740,25660.0,13440.0
2010,264,Baoshan Iron & Steel,Materials,China,29390.0,950,29350.0,21040.0
2011,285,Baoshan Iron & Steel,Diversified Metals & Mining,China,29911.0,1892.3,32067.0,18832.0
2012,329,Baoshan Iron & Steel,Diversified Metals & Mining,China,30701.0,1955.5,32617.0,13987.0
2013,370,Baoshan Iron & Steel,Diversified Metals & Mining,China,35396.0,1169.7,36730.0,13417.0
2014,512,Baoshan Iron & Steel,Diversified Metals & Mining,China,30802.0,718.2,37442.0,10403.0
2015,402,Baoshan Iron & Steel,Diversified Metals & Mining,China,30400.0,940.1,36954.0,19188.0
2016,728,Baoshan Iron & Steel,Diversified Metals & Mining,China,26038.0,161.1,36140.0,14456.0
2017,430,Baoshan Iron & Steel,Diversified Metals & Mining,China,26752.0,666.7,40011.0,21434.0
2018,236,Baoshan Iron & Steel,Diversified Metals & Mining,China,40743.0,3078.8,56219.0,31673.0
2019,270,Baoshan Iron & Steel,Materials,China,39950.0,3555.0,50849.0,25648.0
2020,323,Baoshan Iron & Steel,Materials,China,42958.0,2136.2,48270.0,15259.0
2021,272,Baoshan Iron & Steel,Materials,China,39139.0,1628.0,52318.0,28017.0
2022,292,Baoshan Iron & Steel,Materials,China,55516.0,4057.5,62174.0,23351.0
