Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1432,Beijing Enterprises,Conglomerates,Hong Kong/China,2540.0,290,6610.0,7390.0
2011,1895,Beijing Enterprises,Conglomerates,Hong Kong-China,3122.0,309.4,7550.0,6148.0
2012,1774,Beijing Enterprises,Oil & Gas Operations,Hong Kong-China,3552.0,339.5,8546.0,7159.0
2013,1329,Beijing Enterprises,Oil & Gas Operations,Hong Kong-China,4585.0,422.0,11548.0,8576.0
2014,1196,Beijing Enterprises,Oil & Gas Operations,Hong Kong,4895.0,468.4,12531.0,11389.0
2015,1028,Beijing Enterprises,Oil & Gas Operations,Hong Kong,6182.0,623.1,15998.0,10197.0
2016,993,Beijing Enterprises,Oil & Gas Operations,Hong Kong,7759.0,731.0,16099.0,6839.0
2017,1065,Beijing Enterprises,Oil & Gas Operations,Hong Kong,7209.0,803.3,18665.0,6611.0
2018,1174,Beijing Enterprises,Oil & Gas Operations,Hong Kong,7380.0,882.9,21945.0,6568.0
2019,1048,Beijing Enterprises,Conglomerates,Hong Kong,8646.0,967.0,22287.0,6805.0
2020,1072,Beijing Enterprises,Conglomerates,Hong Kong,8651.0,1028.0,23846.0,4485.0
2021,1118,Beijing Enterprises,Conglomerates,Hong Kong,8820.0,681.7,26413.0,4288.0
2022,1113,Beijing Enterprises,Conglomerates,Hong Kong,10348.0,1276.1,28580.0,4335.0
