Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1421,Blom Bank,Banking,Lebanon,1330.0,290,20790.0,1940.0
2011,1571,Blom Bank,Banking,Lebanon,1414.0,322.0,22440.0,1956.0
2012,1689,Blom Bank,Banking,Lebanon,1412.0,321.9,22441.0,1677.0
2013,1662,Blom Bank,Banking,Lebanon,1584.0,332.1,24987.0,1716.0
2014,1661,Blom Bank,Banking,Lebanon,1637.0,346.3,26150.0,1937.0
2015,1676,Blom Bank,Banking,Lebanon,1716.0,354.1,27979.0,2029.0
2016,1564,Blom Bank,Banking,Lebanon,1808.0,387.7,29085.0,2150.0
2017,1495,Blom Bank,Banking,Lebanon,2353.0,458.3,29520.0,2580.0
2018,1557,Blom Bank,Banking,Lebanon,2256.0,485.9,33056.0,2271.0
2019,1535,Blom Bank,Banking,Lebanon,2454.0,506.0,36765.0,1752.0
2020,1559,Blom Bank,Banking,Lebanon,2721.0,502.1,38544.0,670.0
