Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1381,Boliden,Materials,Sweden,5140.0,920,3930.0,3610.0
2010,1747,Boliden,Materials,Sweden,3860.0,350,4650.0,3470.0
2011,1370,Boliden,Diversified Metals & Mining,Sweden,5468.0,589.0,5220.0,5387.0
2012,1619,Boliden,Diversified Metals & Mining,Sweden,5846.0,491.0,5480.0,4575.0
2013,1648,Boliden,Diversified Metals & Mining,Sweden,6154.0,503.0,6145.0,4608.0
2017,1610,Boliden,Diversified Metals & Mining,Sweden,4709.0,494.9,5989.0,8529.0
2018,1346,Boliden,Diversified Metals & Mining,Sweden,6012.0,862.6,7174.0,10262.0
2019,1478,Boliden,Materials,Sweden,6029.0,827.0,6624.0,8426.0
2021,1458,Boliden,Materials,Sweden,6119.0,738.6,8827.0,11032.0
2022,1319,Boliden,Materials,Sweden,7995.0,1013.9,8939.0,13290.0
