Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1034,CIT Group,Diversified Financials,United States,8610.0,-80,89490.0,4210.0
2009,1195,CIT Group,Diversified Financials,United States,6100.0,-2800,80450.0,950.0
2010,1041,CIT Group,Diversified Financials,United States,3980.0,#VALUE!,60030.0,7310.0
2011,697,CIT Group,Diversified Financials,United States,6362.0,516.8,50958.0,8667.0
2012,1145,CIT Group,Diversified Financials,United States,4678.0,26.7,45235.0,8673.0
2013,1265,CIT Group,Diversified Financials,United States,4007.0,-592.3,44012.0,8964.0
2014,909,CIT Group,Diversified Financials,United States,3518.0,675.7,47139.0,9748.0
2015,914,CIT Group,Diversified Financials,United States,3653.0,1130.0,47880.0,7999.0
2016,915,CIT Group,Diversified Financials,United States,3966.0,1056.6,67499.0,6860.0
2017,1272,CIT Group,Diversified Financials,United States,4351.0,-860.9,64170.0,8799.0
2018,1681,CIT Group,Diversified Financials,United States,3235.0,279.4,51542.0,6818.0
2019,1505,CIT Group,Business Services & Supplies,United States,3171.0,463.0,48537.0,5003.0
2020,1776,CIT Group,Business Services & Supplies,United States,3214.0,-213.3,58937.0,1867.0
2021,1889,CIT Group,Business Services & Supplies,United States,3070.0,-615.3,58107.0,5214.0
