Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1270,CSL,Drugs & Biotechnology,Australia,2700.0,460,3440.0,18790.0
2009,1041,CSL,Drugs & Biotechnology,Australia,3400.0,670,4340.0,14120.0
2010,925,CSL,Drugs & Biotechnology,Australia,3730.0,920,5770.0,17440.0
2011,1019,CSL,Drugs & Biotechnology,Australia,3744.0,884.8,4662.0,18865.0
2012,1004,CSL,Drugs & Biotechnology,Australia,4488.0,1008.2,5239.0,18476.0
2013,956,CSL,Drugs & Biotechnology,Australia,4538.0,1005.7,5764.0,32017.0
2014,928,CSL,Drugs & Biotechnology,Australia,5044.0,1236.9,6237.0,31062.0
2015,881,CSL,Drugs & Biotechnology,Australia,5503.0,1353.6,6523.0,33474.0
2016,818,CSL,Drugs & Biotechnology,Australia,5780.0,1405.8,7502.0,37020.0
2017,806,CSL,Drugs & Biotechnology,Australia,6398.0,1325.3,8130.0,43865.0
2018,800,CSL,Drugs & Biotechnology,Australia,7355.0,1609.5,10400.0,59997.0
2019,726,CSL,Drugs & Biotechnology,Australia,8243.0,1819.0,11532.0,61732.0
2020,610,CSL,Drugs & Biotechnology,Australia,8904.0,2013.1,14075.0,91986.0
2021,496,CSL,Drugs & Biotechnology,Australia,9882.0,2620.0,17691.0,94741.0
2022,547,CSL,Drugs & Biotechnology,Australia,10585.0,2355.8,23440.0,94666.0
