Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,300,CaixaBank,Banking,Spain,15143.0,1193.7,348115.0,16608.0
2013,532,CaixaBank,Banking,Spain,16265.0,303.0,450060.0,16797.0
2014,325,CaixaBank,Banking,Spain,15949.0,667.8,468765.0,33254.0
2015,330,CaixaBank,Banking,Spain,15331.0,822.4,409751.0,28182.0
2016,347,CaixaBank,Banking,Spain,12515.0,902.7,373965.0,18788.0
2017,321,CaixaBank,Banking,Spain,11013.0,1158.2,366976.0,25732.0
2018,299,CaixaBank,Banking,Spain,11657.0,2319.7,472790.0,30709.0
2019,343,CaixaBank,Banking,Spain,12392.0,2342.0,441967.0,19870.0
2020,462,CaixaBank,Banking,Spain,11255.0,1402.1,456885.0,10745.0
2021,306,CaixaBank,Banking,Spain,11584.0,1574.3,552457.0,24688.0
2022,273,CaixaBank,Banking,Spain,14640.0,6177.0,773337.0,26815.0
