Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,271,Canadian Natural Resources,Oil & Gas Operations,Canada,13545.0,2595.6,46431.0,38755.0
2013,288,Canadian Natural Resources,Oil & Gas Operations,Canada,14652.0,1900.2,49192.0,35951.0
2014,278,Canadian Natural Resources,Oil & Gas Operations,Canada,15669.0,2203.1,50377.0,42003.0
2015,257,Canadian Natural Resources,Oil & Gas Operations,Canada,17079.0,3557.4,53373.0,35321.0
2016,736,Canadian Natural Resources,Oil & Gas Operations,Canada,9663.0,-497.9,43687.0,33475.0
2017,783,Canadian Natural Resources,Oil & Gas Operations,Canada,7942.0,-154.0,44924.0,37099.0
2018,321,Canadian Natural Resources,Oil & Gas Operations,Canada,14401.0,2130.9,56788.0,44141.0
2019,342,Canadian Natural Resources,Oil & Gas Operations,Canada,16223.0,1999.0,53932.0,37635.0
2020,306,Canadian Natural Resources,Oil & Gas Operations,Canada,17236.0,4081.7,62291.0,19818.0
2021,713,Canadian Natural Resources,Oil & Gas Operations,Canada,12594.0,-324.3,59086.0,36559.0
2022,234,Canadian Natural Resources,Oil & Gas Operations,Canada,23974.0,6112.9,60694.0,74272.0
