Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1148,Canadian Tire,Retailing,Canada,8690.0,420,6800.0,5090.0
2009,1364,Canadian Tire,Retailing,Canada,7390.0,300,6310.0,2510.0
2010,1112,Canadian Tire,Retailing,Canada,8230.0,320,8520.0,4110.0
2011,1136,Canadian Tire,Retailing,Canada,9038.0,456.5,8820.0,5182.0
2012,1089,Canadian Tire,Retailing,Canada,10201.0,458.6,12118.0,5348.0
2013,1027,Canadian Tire,Retailing,Canada,11477.0,501.4,13238.0,5635.0
2014,988,Canadian Tire,Retailing,Canada,11438.0,544.7,12828.0,7627.0
2015,1025,Canadian Tire,Retailing,Canada,11284.0,546.9,12565.0,8597.0
2016,1100,Canadian Tire,Retailing,Canada,9598.0,515.4,10790.0,7925.0
2017,1146,Canadian Tire,Retailing,Canada,9571.0,505.0,11411.0,8529.0
2018,1282,Canadian Tire,Retailing,Canada,10350.0,566.3,12470.0,8366.0
2019,1396,Canadian Tire,Retailing,Canada,10847.0,534.0,12657.0,6937.0
2020,1358,Canadian Tire,Retailing,Canada,10954.0,586.6,15052.0,4332.0
2021,1216,Canadian Tire,Retailing,Canada,11087.0,560.5,15995.0,9458.0
2022,1269,Canadian Tire,Retailing,Canada,12995.0,899.4,17260.0,8566.0
