Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,138,Canon,Technology Hardware & Equipment,Japan,40060.0,4370,40340.0,61750.0
2009,122,Canon,Technology Hardware & Equipment,Japan,45120.0,3410,43790.0,32050.0
2010,147,Canon,Business Services & Supplies,Japan,34530.0,1460,41330.0,55800.0
2011,141,Canon,Business Services & Supplies,Japan,45669.0,3038.1,49119.0,61917.0
2012,149,Canon,Business Services & Supplies,Japan,46211.0,3229.7,51088.0,63459.0
2013,181,Canon,Business Services & Supplies,Japan,40122.0,2589.2,45747.0,41942.0
2014,221,Canon,Business Services & Supplies,Japan,38222.0,2360.9,40366.0,40827.0
2015,235,Canon,Business Services & Supplies,Japan,35213.0,2407.2,37204.0,49763.0
2016,254,Canon,Business Services & Supplies,Japan,31390.0,1818.9,36808.0,40413.0
2017,266,Canon,Business Services & Supplies,Japan,31304.0,1386.4,44056.0,41579.0
2018,252,Canon,Business Services & Supplies,Japan,36704.0,2201.0,46812.0,46356.0
2019,301,Canon,Business Services & Supplies,Japan,35783.0,2289.0,44656.0,30901.0
2020,359,Canon,Business Services & Supplies,Japan,32963.0,1147.6,43877.0,22727.0
2021,422,Canon,Business Services & Supplies,Japan,29599.0,780.4,44802.0,24882.0
2022,422,Canon,Business Services & Supplies,Japan,31976.0,1954.2,41256.0,24658.0
