Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,347,Carrefour,Food Markets,France,113162.0,516.6,62119.0,17305.0
2013,216,Carrefour,Food Markets,France,101305.0,1627.0,59449.0,19826.0
2014,212,Carrefour,Food Markets,France,99423.0,1676.8,60029.0,27431.0
2015,236,Carrefour,Food Markets,France,101232.0,1656.7,55407.0,25200.0
2016,279,Carrefour,Food Markets,France,87446.0,1086.7,48987.0,21875.0
2017,345,Carrefour,Food Markets,France,87140.0,825.2,51519.0,16643.0
2018,685,Carrefour,Food Markets,France,91334.0,-598.9,57414.0,15035.0
2019,664,Carrefour,Food Markets,France,91923.0,-663.0,54160.0,14655.0
2020,374,Carrefour,Food Markets,France,82983.0,1263.6,57025.0,11792.0
2021,451,Carrefour,Food Markets,France,82249.0,730.7,58226.0,14658.0
2022,473,Carrefour,Food Markets,France,87805.0,1267.1,54208.0,15771.0
