Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,578,Cathay Financial,Insurance,Taiwan,7970.0,320,105770.0,24010.0
2009,403,Cathay Financial,Insurance,Taiwan,7850.0,950,113590.0,7820.0
2010,705,Cathay Financial,Insurance,Taiwan,6610.0,70,113830.0,15860.0
2011,518,Cathay Financial,Insurance,Taiwan,10147.0,345.5,134298.0,16391.0
2012,708,Cathay Financial,Insurance,Taiwan,11959.0,157.7,160820.0,11910.0
2013,610,Cathay Financial,Insurance,Taiwan,9224.0,367.5,165309.0,14323.0
2014,400,Cathay Financial,Insurance,Taiwan,11048.0,1043.5,199253.0,17078.0
2015,324,Cathay Financial,Insurance,Taiwan,13747.0,1559.5,218836.0,20161.0
2016,318,Cathay Financial,Insurance,Taiwan,14400.0,1811.2,230257.0,14057.0
2017,238,Cathay Financial,Insurance,Taiwan,29023.0,1476.5,252186.0,19775.0
2018,260,Cathay Financial,Insurance,Taiwan,23562.0,1850.8,296908.0,23050.0
2019,295,Cathay Financial,Insurance,Taiwan,28859.4,1707.0,299904.0,18006.0
2020,250,Cathay Financial,Insurance,Taiwan,24212.0,2030.1,335491.0,17670.0
2021,209,Cathay Financial,Insurance,Taiwan,37886.0,2532.9,389437.0,23165.0
2022,200,Cathay Financial,Insurance,Taiwan,34462.0,4994.8,418705.0,28899.0
