Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1106,Celanese,Chemicals,United States,6440.0,430,8060.0,5930.0
2009,1608,Celanese,Chemicals,United States,6820.0,260,7170.0,1230.0
2010,1091,Celanese,Chemicals,United States,5080.0,490,8410.0,4710.0
2011,1311,Celanese,Chemicals,United States,5918.0,377.0,8281.0,6241.0
2012,1148,Celanese,Chemicals,United States,6763.0,607.0,8518.0,7415.0
2013,1178,Celanese,Chemicals,United States,6418.0,605.0,9158.0,7508.0
2014,1071,Celanese,Chemicals,United States,6510.0,1101.0,9018.0,8737.0
2015,1306,Celanese,Chemicals,United States,6802.0,624.0,8818.0,8797.0
2016,1534,Celanese,Chemicals,United States,5628.0,325.0,8392.0,10657.0
2017,1121,Celanese,Chemicals,United States,5389.0,900.0,8357.0,12976.0
2018,1097,Celanese,Chemicals,United States,6520.0,1023.0,9780.0,14679.0
2019,1060,Celanese,Chemicals,United States,7155.0,1207.0,9313.0,13448.0
2020,1343,Celanese,Chemicals,United States,6070.0,733.0,9545.0,9821.0
2021,1022,Celanese,Chemicals,United States,5655.0,1985.0,10909.0,18031.0
2022,1067,Celanese,Chemicals,United States,8537.0,1890.0,11975.0,15417.0
