Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,154,China Life Insurance,Insurance,China,18860.0,2560,97900.0,144450.0
2009,72,China Life Insurance,Insurance,China,26200.0,5320,127830.0,83260.0
2010,90,China Life Insurance,Insurance,China,24010.0,3120,153130.0,118750.0
2011,68,China Life Insurance,Insurance,China,48219.0,4816.4,179619.0,96636.0
2012,65,China Life Insurance,Insurance,China,56014.0,5101.7,214058.0,76465.0
2013,106,China Life Insurance,Insurance,China,63233.0,1753.0,304558.0,79949.0
2014,66,China Life Insurance,Insurance,China,68399.0,4020.4,327191.0,79798.0
2015,37,China Life Insurance,Insurance,China,71439.0,5219.4,362116.0,160495.0
2016,49,China Life Insurance,Insurance,China,81487.0,5573.1,377035.0,55652.0
2017,52,China Life Insurance,Insurance,China,82836.0,2879.8,388746.0,98104.0
2018,35,China Life Insurance,Insurance,China,97129.0,5967.0,474155.0,104055.0
2019,105,China Life Insurance,Insurance,China,98335.0,1862.0,474776.0,114154.0
2020,37,China Life Insurance,Insurance,China,103664.0,8486.5,536170.0,60304.0
2021,49,China Life Insurance,Insurance,China,113848.0,7255.4,651916.0,57257.0
2022,71,China Life Insurance,Insurance,China,130498.0,7874.2,769876.0,43017.0
