Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,427,China Merchants Bank,Banking,China,4840.0,870,119340.0,63650.0
2009,221,China Merchants Bank,Banking,China,8150.0,2090,179130.0,30680.0
2010,141,China Merchants Bank,Banking,China,12090.0,3090,230000.0,45650.0
2011,185,China Merchants Bank,Banking,China,11496.0,2671.1,302498.0,46708.0
2012,160,China Merchants Bank,Banking,China,15201.0,3909.7,364023.0,42548.0
2013,101,China Merchants Bank,Banking,China,28395.0,7267.0,547039.0,44114.0
2014,102,China Merchants Bank,Banking,China,32239.0,8083.0,634657.0,45192.0
2015,55,China Merchants Bank,Banking,China,45474.0,9071.9,762706.0,64043.0
2016,38,China Merchants Bank,Banking,China,48189.0,9202.5,843134.0,66759.0
2017,42,China Merchants Bank,Banking,China,44491.0,9381.4,855070.0,66376.0
2018,32,China Merchants Bank,Banking,China,49936.0,11023.6,993732.0,112449.0
2019,31,China Merchants Bank,Banking,China,54867.0,12259.0,982526.0,130355.0
2020,26,China Merchants Bank,Banking,China,58381.0,13710.6,1094883.0,120856.0
2021,22,China Merchants Bank,Banking,China,60414.0,14091.9,1278548.0,192801.0
2022,24,China Merchants Bank,Banking,China,71066.0,18584.4,1451202.0,167321.0
