Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,78,China Mobile,Telecommunications Services,Hong Kong/China,37060.0,8290,62440.0,308590.0
2009,55,China Mobile,Telecommunications Services,Hong Kong/China,47090.0,11490,76420.0,175850.0
2010,38,China Mobile,Telecommunications Services,Hong Kong/China,66220.0,16870,104460.0,199730.0
2011,34,China Mobile,Telecommunications services,Hong Kong-China,71751.0,17691.1,129287.0,192069.0
2012,31,China Mobile,Telecommunications services,Hong Kong-China,81706.0,19478.1,151207.0,216510.0
2013,29,China Mobile,Telecommunications services,Hong Kong-China,88819.0,20488.4,168742.0,213824.0
2014,28,China Mobile,Telecommunications services,Hong Kong,102525.0,19789.1,192833.0,184573.0
2015,20,China Mobile,Telecommunications services,China,104086.0,17724.0,208970.0,271486.0
2016,18,China Mobile,Telecommunications services,China,107758.0,17124.5,219893.0,240997.0
2017,21,China Mobile,Telecommunications services,Hong Kong,106763.0,16423.4,218864.0,225308.0
2018,25,China Mobile,Telecommunications services,Hong Kong,109493.0,16882.0,233740.0,192632.0
2019,27,China Mobile,Telecommunications Services,Hong Kong,111804.0,17906.0,223708.0,197572.0
2020,28,China Mobile,Telecommunications Services,Hong Kong,108106.0,15457.7,233895.0,164943.0
2021,32,China Mobile,Telecommunications Services,Hong Kong,111262.0,15616.7,264210.0,134923.0
2022,31,China Mobile,Telecommunications Services,Hong Kong,131491.0,17973.7,283372.0,147052.0
