Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1900,China Resources Land,Diversified Financials,Hong Kong/China,730.0,180,6040.0,5140.0
2010,1206,China Resources Land,Diversified Financials,Hong Kong/China,1180.0,260,9080.0,10850.0
2011,1144,China Resources Land,Real Estate,Hong Kong-China,2141.0,568.6,12395.0,8701.0
2012,809,China Resources Land,Real Estate,Hong Kong-China,4764.0,1039.0,23160.0,9623.0
2013,637,China Resources Land,Real Estate,Hong Kong-China,5719.0,1362.0,29449.0,14568.0
2014,534,China Resources Land,Real Estate,Hong Kong,9254.0,1894.6,36338.0,12880.0
2015,434,China Resources Land,Real Estate,Hong Kong,11540.0,1896.7,42595.0,18996.0
2016,340,China Resources Land,Real Estate,Hong Kong,13666.0,2260.9,50223.0,17425.0
2017,329,China Resources Land,Real Estate,Hong Kong,14510.0,2512.2,55080.0,19847.0
2018,312,China Resources Land,Real Estate,Hong Kong,15481.0,2953.6,73499.0,25650.0
2019,267,China Resources Land,Construction,Hong Kong,18444.0,3632.0,95510.0,29861.0
2020,210,China Resources Land,Construction,Hong Kong,21642.0,4143.3,109409.0,29251.0
2021,190,China Resources Land,Construction,Hong Kong,27084.0,4337.2,132885.0,34508.0
2022,217,China Resources Land,Construction,Hong Kong,33613.0,5027.7,149027.0,32449.0
