Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1836,China Taiping Insurance,Insurance,Hong Kong/China,3170.0,-40,10240.0,5280.0
2011,1726,China Taiping Insurance,Insurance,Hong Kong-China,4350.0,106.5,14102.0,4802.0
2012,1459,China Taiping Insurance,Insurance,Hong Kong-China,6879.0,64.0,24307.0,3523.0
2013,1387,China Taiping Insurance,Insurance,Hong Kong-China,8126.0,121.0,31343.0,3082.0
2014,1197,China Taiping Insurance,Insurance,Hong Kong,11888.0,197.3,40265.0,4436.0
2015,715,China Taiping Insurance,Insurance,Hong Kong,10834.0,511.1,51874.0,10864.0
2016,545,China Taiping Insurance,Insurance,Hong Kong,20699.0,785.2,58564.0,7720.0
2017,615,China Taiping Insurance,Insurance,Hong Kong,21556.0,582.3,64434.0,8613.0
2018,524,China Taiping Insurance,Insurance,Hong Kong,25413.0,754.7,83994.0,13049.0
2019,505,China Taiping Insurance,Insurance,Hong Kong,27254.0,846.0,94255.0,11865.0
2020,545,China Taiping Insurance,Insurance,Hong Kong,31838.0,1127.1,116276.0,6055.0
2021,560,China Taiping Insurance,Insurance,Hong Kong,35676.0,844.4,148729.0,6938.0
2022,670,China Taiping Insurance,Insurance,Hong Kong,40910.0,966.7,174917.0,4357.0
