Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,558,China Unicom,Telecommunications Services,Hong Kong/China,11830.0,470,18710.0,30010.0
2009,351,China Unicom,Telecommunications Services,Hong Kong/China,13130.0,1230,20400.0,21550.0
2011,214,China Unicom,Telecommunications services,Hong Kong-China,22531.0,1398.6,60324.0,39753.0
2012,326,China Unicom,Telecommunications services,Hong Kong-China,25330.0,569.4,66237.0,41711.0
2013,217,China Unicom,Telecommunications services,Hong Kong-China,39452.0,1125.0,82779.0,32371.0
2014,193,China Unicom,Telecommunications services,Hong Kong,47996.0,1693.6,87467.0,31578.0
2015,185,China Unicom,Telecommunications services,China,46212.0,1955.7,88026.0,39846.0
2016,218,China Unicom,Telecommunications services,China,42953.0,1250.8,92705.0,29052.0
2017,524,China Unicom,Telecommunications services,Hong Kong,41303.0,101.6,88860.0,33778.0
2018,534,China Unicom,Telecommunications services,Hong Kong,40672.0,261.9,88547.0,42488.0
2019,251,China Unicom,Telecommunications Services,Hong Kong,44074.0,1553.0,79651.0,37793.0
2020,286,China Unicom,Telecommunications Services,Hong Kong,42068.0,1647.3,81992.0,19774.0
2021,276,China Unicom,Telecommunications Services,Hong Kong,44034.0,1803.3,90481.0,17564.0
2022,368,China Unicom,Telecommunications Services,Hong Kong,50831.0,2225.0,92742.0,15055.0
