Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,353,Chubu Electric Power,Utilities,Japan,18840.0,770,47470.0,19740.0
2009,258,Chubu Electric Power,Utilities,Japan,24380.0,710,55150.0,19310.0
2010,522,Chubu Electric Power,Utilities,Japan,25780.0,-190,53380.0,20530.0
2011,279,Chubu Electric Power,Utilities,Japan,23952.0,1161.6,54429.0,19848.0
2012,330,Chubu Electric Power,Utilities,Japan,28041.0,1017.7,61497.0,14120.0
2013,722,Chubu Electric Power,Utilities,Japan,29587.0,-1113.7,65804.0,9043.0
2014,779,Chubu Electric Power,Utilities,Japan,28094.0,-629.5,54904.0,8807.0
2015,810,Chubu Electric Power,Utilities,Japan,28789.0,-42.2,46828.0,9053.0
2016,423,Chubu Electric Power,Utilities,Japan,24541.0,1331.5,45348.0,10123.0
2017,450,Chubu Electric Power,Utilities,Japan,24170.0,1467.9,45632.0,10012.0
2018,596,Chubu Electric Power,Utilities,Japan,25744.0,671.0,52000.0,12049.0
2019,681,Chubu Electric Power,Utilities,Japan,27070.0,511.0,50598.0,10837.0
2020,455,Chubu Electric Power,Utilities,Japan,28591.0,1551.5,49777.0,10316.0
2021,554,Chubu Electric Power,Utilities,Japan,27141.0,1568.4,54343.0,9180.0
2022,1089,Chubu Electric Power,Utilities,Japan,24116.0,-205.7,52960.0,7711.0
