Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1574,Chugoku Bank,Banking,Japan,1180.0,160,49110.0,3170.0
2009,1298,Chugoku Bank,Banking,Japan,1460.0,190,57960.0,2890.0
2010,1590,Chugoku Bank,Banking,Japan,1460.0,90,59190.0,3010.0
2011,1607,Chugoku Bank,Banking,Japan,1397.0,109.7,64671.0,2645.0
2012,1586,Chugoku Bank,Banking,Japan,1639.0,52.5,74590.0,3113.0
2013,1628,Chugoku Bank,Banking,Japan,1435.0,230.3,76749.0,3184.0
2014,1605,Chugoku Bank,Banking,Japan,1174.0,261.1,66049.0,2603.0
2015,1594,Chugoku Bank,Banking,Japan,1117.0,280.1,64728.0,2945.0
2016,1663,Chugoku Bank,Banking,Japan,980.0,210.6,64591.0,2226.0
2017,1630,Chugoku Bank,Banking,Japan,1188.0,218.6,73270.0,2746.0
2018,1612,Chugoku Bank,Banking,Japan,1113.0,191.8,79617.0,2256.0
2019,1635,Chugoku Bank,Banking,Japan,1093.0,156.0,76060.0,1875.0
2020,1674,Chugoku Bank,Banking,Japan,1099.0,140.6,79379.0,1750.0
2021,1725,Chugoku Bank,Banking,Japan,1062.0,118.6,88618.0,1564.0
2022,1709,Chugoku Bank,Banking,Japan,1053.0,172.2,88257.0,1382.0
