Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,773,Citic Pacific,Conglomerates,Hong Kong/China,6050.0,1060,9860.0,12200.0
2009,756,Citic Pacific,Conglomerates,Hong Kong/China,5760.0,1390,13710.0,3810.0
2010,1034,Citic Pacific,Materials,Hong Kong/China,5990.0,-1630,17710.0,8460.0
2011,570,Citic Pacific,Diversified Metals & Mining,Hong Kong-China,9084.0,1146.9,24727.0,9791.0
2012,625,Citic Pacific,Diversified Metals & Mining,Hong Kong-China,12886.0,1231.4,29368.0,6348.0
2013,789,Citic Pacific,Diversified Metals & Mining,Hong Kong-China,12024.0,896.5,31917.0,4689.0
2014,754,Citic Pacific,Diversified Metals & Mining,Hong Kong,11350.0,792.0,34536.0,6483.0
2015,82,Citic Pacific,Diversified Metals & Mining,Hong Kong,51856.0,5136.8,766982.0,44264.0
2016,61,Citic Pacific,Diversified Metals & Mining,Hong Kong,53764.0,5393.3,877829.0,45380.0
2017,72,Citic Pacific,Diversified Metals & Mining,Hong Kong,49059.0,5554.8,933555.0,41408.0
2018,76,Citic Pacific,Diversified Metals & Mining,Hong Kong,57814.0,5633.6,962064.0,44397.0
