Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1139,Citic Securities,Diversified Financials,China,810.0,320,8390.0,26350.0
2009,517,Citic Securities,Diversified Financials,China,3950.0,1700,25930.0,20720.0
2010,619,Citic Securities,Diversified Financials,China,3300.0,1070,19960.0,26940.0
2011,640,Citic Securities,Diversified Financials,China,3551.0,1617.1,26028.0,21738.0
2012,663,Citic Securities,Diversified Financials,China,4211.0,1716.2,23074.0,21569.0
2013,798,Citic Securities,Diversified Financials,China,2199.0,672.0,27026.0,23096.0
2014,732,Citic Securities,Diversified Financials,China,2654.0,853.0,44823.0,19010.0
2015,432,Citic Securities,Diversified Financials,China,5655.0,1839.9,77309.0,59422.0
2016,309,Citic Securities,Diversified Financials,China,9137.0,3161.2,94879.0,31092.0
2017,394,Citic Securities,Diversified Financials,China,7599.0,1561.4,85969.0,27907.0
2018,492,Citic Securities,Diversified Financials,China,6116.0,1786.0,104848.0,35781.0
2019,456,Citic Securities,Diversified Financials,China,7725.0,1431.0,95130.0,40829.3
2020,509,Citic Securities,Diversified Financials,China,5975.0,1772.6,113660.0,23382.0
2021,265,Citic Securities,Diversified Financials,China,12377.0,2151.6,161008.0,32076.0
2022,346,Citic Securities,Diversified Financials,China,11738.0,3556.0,200627.0,32190.0
