Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1745,City Developments,Diversified Financials,Singapore,1660.0,230,7170.0,7800.0
2009,1457,City Developments,Diversified Financials,Singapore,2040.0,410,8690.0,2820.0
2010,1214,City Developments,Diversified Financials,Singapore,2250.0,410,9460.0,6660.0
2011,1233,City Developments,Real Estate,Singapore,2438.0,583.8,11024.0,7895.0
2012,1267,City Developments,Real Estate,Singapore,2529.0,615.7,11539.0,8159.0
2013,1300,City Developments,Real Estate,Singapore,2747.0,555.6,12778.0,7839.0
2014,1415,City Developments,Real Estate,Singapore,2527.0,545.8,13219.0,7359.0
2015,1503,City Developments,Real Estate,Singapore,2971.0,607.5,14867.0,6890.0
2016,1547,City Developments,Real Estate,Singapore,2403.0,562.3,14322.0,6031.0
2017,1719,City Developments,Real Estate,Singapore,2829.0,473.1,13703.0,6705.0
