Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,123,Coca Cola,"Food, Drink & Tobacco",United States,28860.0,5980,43270.0,135860.0
2009,110,Coca Cola,"Food, Drink & Tobacco",United States,31940.0,5810,40520.0,94550.0
2010,104,Coca Cola,"Food, Drink & Tobacco",United States,30990.0,6820,48670.0,122790.0
2011,91,Coca Cola,"Food, Drink & Tobacco",United States,35119.0,11809.0,72921.0,148695.0
2012,87,Coca Cola,"Food, Drink & Tobacco",United States,46542.0,8572.0,79974.0,158786.0
2013,79,Coca Cola,"Food, Drink & Tobacco",United States,48017.0,9019.0,86174.0,173054.0
2014,81,Coca Cola,"Food, Drink & Tobacco",United States,46253.0,8452.0,91289.0,168697.0
2015,93,Coca Cola,"Food, Drink & Tobacco",United States,45913.0,7098.0,92023.0,179851.0
2016,83,Coca Cola,"Food, Drink & Tobacco",United States,43488.0,7277.0,91263.0,192803.0
2017,86,Coca Cola,"Food, Drink & Tobacco",United States,41478.0,6527.0,87270.0,182883.0
2018,209,Coca Cola,"Food, Drink & Tobacco",United States,33682.0,1434.0,93282.0,179317.0
2019,133,Coca Cola,"Food, Drink & Tobacco",United States,31697.0,6434.0,83216.0,202985.0
2020,96,Coca Cola,"Food, Drink & Tobacco",United States,37155.0,10017.0,94013.0,197092.0
2021,102,Coca Cola,"Food, Drink & Tobacco",United States,33029.0,7747.0,87296.0,231324.0
2022,114,Coca Cola,"Food, Drink & Tobacco",United States,38726.0,9771.0,94354.0,282859.0
