Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,455,Colgate Palmolive,Consumer Durables,United States,13790.0,1740,10110.0,38790.0
2009,400,Colgate Palmolive,Consumer Durables,United States,15330.0,1960,9980.0,30170.0
2010,348,Colgate Palmolive,Consumer Durables,United States,15330.0,2290,11130.0,41370.0
2011,437,Colgate Palmolive,Consumer Durables,United States,15564.0,2203.0,11172.0,39105.0
2012,410,Colgate Palmolive,Consumer Durables,United States,16734.0,2431.0,12724.0,45459.0
2013,402,Colgate Palmolive,Consumer Durables,United States,17085.0,2472.0,13394.0,52419.0
2014,423,Colgate Palmolive,Consumer Durables,United States,17420.0,2241.0,13876.0,59015.0
2015,445,Colgate Palmolive,Consumer Durables,United States,17277.0,2180.0,13459.0,63433.0
2016,500,Colgate Palmolive,Consumer Durables,United States,16034.0,1384.0,11958.0,61609.0
2017,472,Colgate Palmolive,Consumer Durables,United States,15195.0,2441.0,12123.0,64944.0
2018,549,Colgate Palmolive,Consumer Durables,United States,15694.0,2088.0,13144.0,54703.0
2019,556,Colgate Palmolive,Consumer Durables,United States,15544.0,2400.0,12161.0,59628.0
2020,494,Colgate Palmolive,Consumer Durables,United States,15693.0,2367.0,15034.0,60253.0
2021,445,Colgate Palmolive,Consumer Durables,United States,16471.0,2695.0,15920.0,68479.0
2022,585,Colgate Palmolive,Consumer Durables,United States,17421.0,2166.0,15040.0,68172.0
