Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1435,Compal Electronics,Technology Hardware & Equipment,Taiwan,11730.0,270,6130.0,3540.0
2009,1095,Compal Electronics,Technology Hardware & Equipment,Taiwan,15370.0,420,6580.0,2280.0
2010,957,Compal Electronics,Technology Hardware & Equipment,Taiwan,14550.0,380,5950.0,5810.0
2011,885,Compal Electronics,Technology Hardware & Equipment,Taiwan,21110.0,600.4,10483.0,4857.0
2012,823,Compal Electronics,Technology Hardware & Equipment,Taiwan,30406.0,797.8,11426.0,5110.0
2013,1523,Compal Electronics,Technology Hardware & Equipment,Taiwan,23093.0,217.0,9762.0,3010.0
2014,1492,Compal Electronics,Technology Hardware & Equipment,Taiwan,23086.0,63.2,10690.0,3075.0
2015,1412,Compal Electronics,Technology Hardware & Equipment,Taiwan,27908.0,232.1,11985.0,3624.0
2016,1467,Compal Electronics,Technology Hardware & Equipment,Taiwan,26683.0,273.5,9983.0,2682.0
2017,1531,Compal Electronics,Technology Hardware & Equipment,Taiwan,23776.0,252.1,10767.0,2834.0
2018,1500,Compal Electronics,Technology Hardware & Equipment,Taiwan,29177.0,189.0,12210.0,2966.0
2019,1463,Compal Electronics,Technology Hardware & Equipment,Taiwan,32092.0,296.0,13007.0,2769.0
2020,1558,Compal Electronics,Technology Hardware & Equipment,Taiwan,31716.0,225.0,12765.0,2796.0
2021,1314,Compal Electronics,Technology Hardware & Equipment,Taiwan,35624.0,318.0,16618.0,4174.0
2022,1345,Compal Electronics,Technology Hardware & Equipment,Taiwan,44239.0,452.3,19413.0,3396.0
