Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,551,Compass Group,Business Services & Supplies,United Kingdom,20960.0,1050,12640.0,12130.0
2009,510,Compass Group,Business Services & Supplies,United Kingdom,20360.0,790,11880.0,8150.0
2010,441,Compass Group,Business Services & Supplies,United Kingdom,21510.0,940,11740.0,13940.0
2011,493,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,22748.0,1061.3,12540.0,16282.0
2012,467,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,24662.0,1134.0,14285.0,20081.0
2013,471,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,27310.0,977.4,14427.0,23109.0
2014,553,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,27390.0,667.7,14782.0,27272.0
2015,492,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,28250.0,1432.5,14094.0,29409.0
2016,467,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,27165.0,1342.0,13250.0,28878.0
2017,486,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,27823.0,1407.8,13694.0,31115.0
2018,517,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,29780.0,1513.3,15996.0,32365.0
2019,498,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,30866.0,1512.0,16447.0,35470.0
2020,505,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,31737.0,1416.0,16402.0,26763.0
2021,793,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,25407.0,169.5,19048.0,39158.0
2022,848,Compass Group,"Hotels, Restaurants & Leisure",United Kingdom,24501.0,488.4,20047.0,39008.0
