Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,344,DBS Group,Banking,Singapore,7750.0,1580,162420.0,18860.0
2009,337,DBS Group,Banking,Singapore,6850.0,1340,178060.0,11570.0
2010,306,DBS Group,Banking,Singapore,5880.0,1450,184120.0,23010.0
2011,364,DBS Group,Banking,Singapore,6584.0,1272.0,221387.0,26123.0
2012,316,DBS Group,Banking,Singapore,7203.0,2340.0,262752.0,27492.0
2013,274,DBS Group,Banking,Singapore,8846.0,3119.6,288941.0,30746.0
2014,288,DBS Group,Banking,Singapore,9367.0,2934.5,318397.0,31762.0
2015,268,DBS Group,Banking,Singapore,9826.0,3193.4,332553.0,37505.0
2016,253,DBS Group,Banking,Singapore,9852.0,3238.7,322836.0,29338.0
2017,245,DBS Group,Banking,Singapore,10280.0,3069.6,333478.0,34424.0
2018,228,DBS Group,Banking,Singapore,11810.0,3418.2,404108.0,56580.0
