Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1632,DCC,Conglomerates,Ireland,8740.0,260,3640.0,1120.0
2010,1874,DCC,Conglomerates,Ireland,8420.0,150,2920.0,2140.0
2011,1951,DCC,Conglomerates,Ireland,9088.0,176.8,3966.0,2573.0
2012,1878,DCC,Conglomerates,Ireland,12295.0,205.5,4406.0,2142.0
2013,1843,DCC,Conglomerates,Ireland,14273.0,136.8,5032.0,2843.0
2014,1781,DCC,Conglomerates,Ireland,16680.0,175.8,4979.0,4656.0
2015,1712,DCC,Conglomerates,Ireland,18757.0,212.9,6253.0,5245.0
2016,1409,DCC,Conglomerates,Ireland,15687.0,208.8,7297.0,7757.0
2017,1379,DCC,Conglomerates,Ireland,15797.0,287.2,6564.0,7814.0
2018,1487,DCC,Conglomerates,Ireland,16623.0,265.5,7734.0,8815.0
2019,1414,DCC,Conglomerates,Ireland,20475.0,324.0,8519.0,8813.0
2020,1524,DCC,Conglomerates,Ireland,19289.0,296.3,9415.0,7023.0
2021,1511,DCC,Conglomerates,United States,17042.0,365.0,9902.0,8783.0
2022,1790,DCC,Conglomerates,Ireland,20522.0,408.4,10942.0,7583.0
