Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,268,Dai ichi Life Insurance,Insurance,Japan,53532.0,595.6,339948.0,17882.0
2012,520,Dai ichi Life Insurance,Insurance,Japan,53379.0,230.2,383936.0,14248.0
2013,534,Dai ichi Life Insurance,Insurance,Japan,56467.0,245.9,403234.0,13436.0
2014,301,Dai ichi Life Insurance,Insurance,Japan,58103.0,836.3,356259.0,14481.0
2015,239,Dai ichi Life Insurance,Insurance,Japan,60851.0,1282.5,346912.0,18072.0
2016,224,Dai ichi Life Insurance,Insurance,Japan,55738.0,1522.3,416724.0,15608.0
2017,191,Dai ichi Life Insurance,Insurance,Japan,55691.0,1734.8,438797.0,19869.0
2018,194,Dai ichi Life Insurance,Insurance,Japan,57629.0,2202.7,481971.0,22835.0
2019,221,Dai ichi Life Insurance,Insurance,Japan,59070.0,2857.0,509385.0,16918.0
2020,230,Dai ichi Life Insurance,Insurance,Japan,62600.0,1849.6,560786.0,14410.0
2021,291,Dai ichi Life Insurance,Insurance,Japan,57919.0,657.6,615564.0,20732.0
2022,212,Dai ichi Life Insurance,Insurance,Japan,66727.0,4473.1,571448.0,19897.0
