Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1627,Daishi Bank,Banking,Japan,720.0,70,35760.0,1420.0
2009,1616,Daishi Bank,Banking,Japan,900.0,90,41260.0,1470.0
2010,1648,Daishi Bank,Banking,Japan,920.0,70,43810.0,1260.0
2011,1653,Daishi Bank,Banking,Japan,865.0,80.6,48062.0,1251.0
2012,1639,Daishi Bank,Banking,Japan,946.0,73.6,55518.0,1303.0
2013,1682,Daishi Bank,Banking,Japan,942.0,117.7,56833.0,1415.0
2014,1717,Daishi Bank,Banking,Japan,883.0,141.5,46079.0,1302.0
2015,1765,Daishi Bank,Banking,Japan,731.0,128.5,42299.0,1237.0
2016,1775,Daishi Bank,Banking,Japan,634.0,124.0,43312.0,1303.0
2017,1731,Daishi Bank,Banking,Japan,656.0,104.7,47964.0,1275.0
2018,1698,Daishi Bank,Banking,Japan,667.0,124.3,56019.0,1535.0
