Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1398,Daito Trust Construction,Construction,Japan,4800.0,360,3980.0,6640.0
2009,1147,Daito Trust Construction,Construction,Japan,6420.0,450,5220.0,3940.0
2010,1002,Daito Trust Construction,Construction,Japan,9810.0,430,5340.0,5960.0
2011,993,Daito Trust Construction,Construction,Japan,10407.0,485.3,5816.0,9426.0
2012,1094,Daito Trust Construction,Construction,Japan,12044.0,519.1,6204.0,7087.0
2013,1079,Daito Trust Construction,Construction,Japan,13133.0,569.0,6681.0,6980.0
2014,1085,Daito Trust Construction,Construction,Japan,12792.0,653.2,5491.0,7234.0
2015,1107,Daito Trust Construction,Construction,Japan,12615.0,558.1,5229.0,9311.0
2016,995,Daito Trust Construction,Construction,Japan,11660.0,543.4,5551.0,11212.0
2017,971,Daito Trust Construction,Construction,Japan,13505.0,749.3,5956.0,10448.0
2018,975,Daito Trust Construction,Construction,Japan,14048.0,792.4,7926.0,12798.0
2019,1051,Daito Trust Construction,Construction,Japan,14246.0,764.0,7456.0,10187.0
2020,1225,Daito Trust Construction,Construction,Japan,14324.0,714.4,7172.0,5952.0
2021,1214,Daito Trust Construction,Construction,Japan,14514.0,780.0,8296.0,7944.0
2022,1744,Daito Trust Construction,Construction,Japan,14152.0,631.3,8129.0,6602.0
