Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1757,Dassault Systemes,IT Software & Services,France,1840.0,260,2670.0,4150.0
2010,1671,Dassault Systemes,IT Software & Services,France,1740.0,240,3300.0,6850.0
2011,1741,Dassault Systemes,IT Software & Services,France,2093.0,295.2,4121.0,9014.0
2012,1577,Dassault Systemes,IT Software & Services,France,2310.0,374.6,4565.0,10462.0
2013,1401,Dassault Systemes,IT Software & Services,France,2676.0,442.0,4801.0,14223.0
2014,1431,Dassault Systemes,IT Software & Services,France,2743.0,467.7,5771.0,14807.0
2015,1550,Dassault Systemes,IT Software & Services,France,3043.0,386.4,6012.0,17419.0
2016,1337,Dassault Systemes,IT Software & Services,France,3178.0,466.0,7214.0,20218.0
2017,1321,Dassault Systemes,IT Software & Services,France,3380.0,494.7,7323.0,22160.0
2018,1260,Dassault Systemes,IT Software & Services,France,3641.0,585.8,8441.0,34569.0
2019,1208,Dassault Systemes,IT Software & Services,France,4103.0,672.0,9115.0,39203.0
2020,1020,Dassault Systemes,IT Software & Services,France,4497.0,688.5,15572.0,37791.0
2021,992,Dassault Systemes,IT Software & Services,France,5076.0,559.7,15862.0,59675.0
2022,1097,Dassault Systemes,IT Software & Services,France,5745.0,914.5,16170.0,56733.0
