Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,778,Datang International Power,Utilities,China,9205.0,389.9,32163.0,9493.0
2013,639,Datang International Power,Utilities,China,12192.0,635.0,42385.0,8397.0
2014,862,Datang International Power,Utilities,China,12116.0,572.5,49229.0,4907.0
2015,836,Datang International Power,Utilities,China,11283.0,289.8,49456.0,12531.0
2016,811,Datang International Power,Utilities,China,9743.0,451.9,47432.0,7430.0
2017,1124,Datang International Power,Utilities,China,8773.0,-389.8,33560.0,8302.0
2018,1141,Datang International Power,Utilities,China,9946.0,245.0,39973.0,8623.0
2019,1040,Datang International Power,Utilities,China,13915.0,197.0,41935.0,8230.1
2020,1224,Datang International Power,Utilities,China,13619.0,59.7,40544.0,2698.0
2021,1227,Datang International Power,Utilities,China,13679.0,263.1,42887.0,2834.0
2022,1240,Datang International Power,Utilities,China,15841.0,-1668.4,46459.0,3019.0
