Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1278,Delek Group,Oil & Gas Operations,Israel,5710.0,360,12410.0,1950.0
2009,1112,Delek Group,Oil & Gas Operations,Israel,8960.0,270,21100.0,790.0
2010,1211,Delek Group,Oil & Gas Operations,Israel,12560.0,-470,20180.0,2570.0
2011,1197,Delek Group,Oil & Gas Operations,Israel,11454.0,227.8,22211.0,2743.0
2012,960,Delek Group,Diversified Financials,Israel,12643.0,482.6,25872.0,2098.0
2013,1124,Delek Group,Diversified Financials,Israel,18587.0,116.0,30657.0,3007.0
2014,1273,Delek Group,Diversified Financials,Israel,10654.0,207.8,35583.0,4672.0
2015,1480,Delek Group,Diversified Financials,Israel,6529.0,-213.9,33709.0,3289.0
2016,1892,Delek Group,Diversified Financials,Israel,2656.0,1.8,32645.0,2108.0
2017,1877,Delek Group,Diversified Financials,Israel,1505.0,162.8,34153.0,2793.0
2018,1740,Delek Group,Diversified Financials,Israel,1498.0,358.6,41574.0,1811.0
2019,1954,Delek Group,Oil & Gas Operations,Israel,2261.0,144.0,34001.0,2180.0
2020,1964,Delek Group,Oil & Gas Operations,Israel,2241.0,90.2,40584.0,525.0
