Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,741,Discover Financial Services,Business Services & Supplies,United States,6430.0,590,37380.0,7230.0
2009,719,Discover Financial Services,Business Services & Supplies,United States,6090.0,930,39890.0,2760.0
2010,461,Discover Financial Services,Diversified Financials,United States,7990.0,1280,46020.0,7400.0
2011,503,Discover Financial Services,Diversified Financials,United States,8241.0,764.8,60785.0,11903.0
2012,372,Discover Financial Services,Diversified Financials,United States,8550.0,2226.7,68784.0,16987.0
2013,353,Discover Financial Services,Diversified Financials,United States,8984.0,2345.0,75283.0,21960.0
2014,349,Discover Financial Services,Diversified Financials,United States,9237.0,2451.0,79612.0,27821.0
2015,358,Discover Financial Services,Diversified Financials,United States,9514.0,2307.0,83427.0,25787.0
2016,325,Discover Financial Services,Diversified Financials,United States,10063.0,2276.0,88093.0,23406.0
2017,317,Discover Financial Services,Diversified Financials,United States,10496.0,2376.0,92831.0,25330.0
2018,356,Discover Financial Services,Diversified Financials,United States,11865.0,2170.0,101967.0,26302.0
2019,339,Discover Financial Services,Business Services & Supplies,United States,12847.0,2720.0,109957.0,25169.0
2020,379,Discover Financial Services,Business Services & Supplies,United States,14067.0,2155.0,112657.0,13149.0
2021,341,Discover Financial Services,Business Services & Supplies,United States,12954.0,1129.0,113267.0,31330.0
2022,334,Discover Financial Services,Business Services & Supplies,United States,12798.0,5420.0,110610.0,31691.0
