Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1103,Doosan,Trading Companies,South Korea,14080.0,10,15320.0,4760.0
2009,1181,Doosan,Trading Companies,South Korea,16200.0,90,18300.0,1590.0
2010,1082,Doosan,Construction,South Korea,17190.0,90,25950.0,2310.0
2011,1110,Doosan,Construction,South Korea,17595.0,198.3,26566.0,2918.0
2014,1127,Doosan,Construction,South Korea,20038.0,112.9,29531.0,2715.0
2015,1136,Doosan,Construction,South Korea,19444.0,62.1,30552.0,1558.0
2016,1186,Doosan,Construction,South Korea,16777.0,-345.7,26913.0,1972.0
2017,1289,Doosan,Construction,South Korea,14300.0,-147.3,23733.0,1609.0
2018,1263,Doosan,Construction,South Korea,15534.0,34.0,26873.0,2151.0
2019,1292,Doosan,Trading Companies,South Korea,16512.0,-66.0,25883.0,1721.0
2020,1331,Doosan,Trading Companies,South Korea,16084.0,-150.8,25224.0,561.0
2021,1371,Doosan,Trading Companies,South Korea,14387.0,-474.1,27725.0,790.0
2022,1689,Doosan,Trading Companies,South Korea,12598.0,-113.7,21880.0,1307.0
